key,en,fr,es,nl
notif-success-forgot-username,A mail containing your username was sent to your email address,Un e-mail contenant votre nom d'utilisateur a été envoyé à votre adresse e-mail,Se le ha enviado su nombre de usuario a su dirección de correo electrónico.,Er is een e-mail met uw usersnaam naar uw e-mailadres verzonden
notif-success-image-calibration,Image {imageName} was correctly calibrated,La résolution de l'image {imageName} a été mise à jour,La imagen {imageName} se calibró correctamente,Afbeeldingsresolutie {imageName} is updated
notif-success-image-deletion,Image {imageName} was successfully deleted,L'image {imageName} a été supprimée,La imagen {imageName} se eliminó correctamente,Afbeelding {imageName} is verwijderd
notif-success-image-group-creation,Image group successfully created,Le groupe d'images a été créé avec succès,Grupo de imágenes creado con éxito,Afbeeldingsgroep is gemaakt
notif-success-image-rename,Image {imageName} was successfully renamed,L'image {imageName} a été renommée avec succès,La imagen {imageName} se renombró correctamente,De naam van de afbeelding {imageName} is succesvol gewijzigd
notif-success-image-group-deletion,Image group {groupName} was successfully deleted,Le groupe d'images {groupName} a été supprimé,El grupo de imágenes {groupName} se eliminó correctamente,Afbeeldingsgroep {groupName} is succesvol verwijderd
notif-success-key-copied,Key copied to clipboard,Clé copiée dans le presse-papier,Clave copiada al portapapeles,Sleutel gekopieerd naar klembord
notif-success-image-group-link-creation,Image {imageName} was successfully added to an image group,L'image {imageName} a été ajoutée à un groupe d'images,La imagen {imageName} se agregó correctamente a un grupo de imágenes,Afbeelding {imageName} is toegevoegd aan een afbeeldingsgroep
notif-success-keys-regenerated,API keys correctly updated,Clés API mises à jour avec succès,Claves API actualizadas correctamente,API-sleutels zijn bijgewerkt
notif-success-image-group-link-deletion,Image {imageName} was successfully removed from its image group,L'image {imageName} a été retirée de son groupe d'images,La imagen {imageName} se eliminó correctamente de su grupo de imágenes,Afbeelding {imageName} is verwijderd uit de afbeeldingsgroep
notif-success-login,Welcome on Cytomine,Bienvenue sur Cytomine,Bienvenido a Cytomine,Welkom bij Cytomine
notif-success-image-group-rename,Image group {imageName} was successfully renamed,Le groupe d'images {imageName} a été renommé avec succès,El grupo de imágenes {imageName} se renombró correctamente,Afbeeldingsgroep {imageName} is hernoemd
notif-success-magnification-update,Magnification of image {imageName} was correctly updated,Le grossissement de l'image {imageName} a bien été mis à jour,El nivel de aumento de la imagen {imageName} se actualizó correctamente,Vergroting van de afbeelding {imageName} succesvol bijgewerkt
notif-success-new-comment,Your comment was successfully send by email,Votre commentaire a bien été envoyé par e-mail,Su comentario fue enviado con éxito por correo electrónico.,Uw commentaar is per e-mail verzonden
notif-success-ontology-creation,The ontology was successfully created,L'ontologie a bien été créée,La ontología se creó con éxito.,De ontologie is gecreëerd
notif-success-ontology-deletion,Ontology {name} was successfully deleted,L'ontologie {name} a bien été supprimée,La ontología {name} se eliminó correctamente,Ontologie {name} succesvol verwijderd
notif-success-ontology-rename,Ontology {name} was successfully renamed,L'ontologie {name} a bien été renommée,Ontology {name} fue renombrado exitosamente,De naam van de ontologie {naam} is succesvol gewijzigd
notif-success-password-saved,Password correctly updated,Mot de passe mis à jour avec succès,La contraseña se ha actualizado correctamente,paswoord succesvol bijgewerkt
notif-success-project-creation,The project was successfully created,Le projet a bien été créé,El proyecto fue creado exitosamente,Het project is succesvol aangemaakt
notif-success-project-deletion,Project {projectName} was successfully deleted,Le projet {projectName} a été supprimé,El proyecto {projectName} se ha eliminado correctamente,Het project {projectName} is verwijderd
notif-success-project-ontology-change,Ontology of project {projectName} was successfully updated,L'ontologie du projet {projectName} a bien été modifiée,La ontología del proyecto {projectName} se actualizó correctamente,De ontologie van het project {projectName} is succesvol aangepast
notif-success-project-rename,Project {projectName} was successfully renamed,Le projet {projectName} a bien été renommé,El proyecto {projectName} se renombró correctamente,Het project {projectName} is succesvol hernoemd
notif-success-remove-project-members,The selected members were correctly removed from project,Les membres sélectionnés ont bien été retirés du projet,Los miembros seleccionados fueron eliminados correctamente del proyecto,De geselecteerde leden zijn met succes uit het project verwijderd
notif-success-tag-creation,The tag was successfully created,Le tag a bien été créé,La etiqueta se creó correctamente.,De tag is succesvol aangemaakt
notif-success-tag-delete,Tag {tagName} was successfully deleted,Le tag {tagName} a bien été supprimé,La etiqueta {tagName} se eliminó correctamente,De tag {tagName} is succesvol verwijderd
notif-success-tag-update,Tag was successfully updated,Le tag a bien été modifié,La etiqueta se actualizó correctamente,De tag is succesvol gewijzigd
notif-success-term-creation,The term was successfully created,Le terme a bien été créé,El término se creó con éxito.,De term is gecreëerd
notif-success-term-update,The term was successfully updated,Le terme a bien été mis à jour,El término se actualizó correctamente.,De term is succesvol geüpdatet.
notif-success-track-creation,The track was successfully created,La trace a bien été créée,,De track is gemaakt
notif-success-track-update,The track was successfully updated,La trace a bien été modifiée,,De track is aangepast
notif-success-user-creation,User successfully created,L'utilisateur a bien été créé,Usuario creado con éxito,De user is succesvol aangemaakt
notif-success-user-details-saved,User details correctly updated,Profil mis à jour avec succès,Los detalles del usuario se han actualizado correctamente,Profiel succesvol updated
notif-success-user-update,User successfully updated,L'utilisateur a bien été modifié,Usuario actualizado con éxito,User succesvol gewijzigd
notif-success-welcome-message-update,Welcome message successfully updated,Le message de bienvenue a bien été mis à jour,Mensaje de bienvenida actualizado con éxito,Het welkomstbericht is bijgewerkt
notif-unexpected-error,Unexpected error,Une erreur inattendue s'est produite,Se ha producido un error inesperado,Er is een onverwachte fout opgetreden
notif-warn-ontology-tree-order-not-persisted,The order of children in the ontology tree is not persisted in database,L'ordre des enfants dans l'arborescence n'est pas sauvegardée dans la base de données,La jerarquía de términos dentro de la ontología no se mantiene en la base de datos.,De volgorde van de kinderen in de stamboom wordt niet opgeslagen in de database
notify-error-empty-list,The list is empty,La liste est vide,La lista está vacía,De lijst is leeg
notify-error-not-enough-item,Not enough items provided,Pas assez d'éléments fournis,No se han proporcionado suficientes elementos,Niet genoeg items verstrekt
notify-success-create-array-inputs,The array was successfully provisioned,Le tableau a été approvisionné avec succès,La matriz se aprovisionó correctamente,De array is succesvol ingericht
notify-success-task-upload,The task has been successfully uploaded,La tâche a été chargée avec succès,La tarea se ha cargado con éxito,De taak is succesvol geüpload
number-annotation-creations,Number of annotation creations,Nombre d'annotations créées,Número de anotaciones creadas,Aantal aangemaakte annotaties
number,Number,Nombre,Número,Nummer
number-annotations-chart-info-message,This chart presents the number of annotation creations during the selected period,Ce graphique présente le nombre d'annotations créées durant la période sélectionnée,Este gráfico presenta el número de anotaciones creadas durante el período seleccionado.,Deze grafiek toont het aantal annotaties dat tijdens de geselecteerde periode is gemaakt
number-annotations,Number of annotations,Nombre d'annotations,Número de anotaciones,Aantal annotaties
number-annotations-info-message,The number of annotations that you created,Le nombre d'annotations que vous avez créées,El número de anotaciones creadas por el usuario,Het aantal annotaties dat u heeft gemaakt
number-connections,# connections,# connexions,# conexiones,# verbindingen
number-consultations,Number of consultations,Nombre de consultations,Número de consultas,Aantal consulten
number-images-info-message,The number of images available in the projects of which you are a member,Le nombre d'images disponibles dans les projets dont vous êtes membre,El número de imágenes disponibles en los proyectos de los que es miembro,Het aantal beschikbare afbeeldingen in de projecten waarvan u lid bent
number-jobs,Jobs,Exécutions,Trabajos,jobs
number-per-category,Number per category,Nombre par catégorie,Número por categoría,Aantal per categorie
number-per-page,Number per page,Nombre par page,Número por pagina,Aantal per pagina
number-projects-info-message,The number of projects of which you are a member,Le nombre de projets dont vous êtes membre,El número de proyectos de los que es miembro,Het aantal projecten waar u lid van bent
number-reviewed-annotations-info-message,The number of annotations that you validated during a review,Le nombre d'annotations que vous avez validées,El número de anotaciones que validadas por el usuario durante una revisión,Het aantal annotaties dat u heeft gevalideerd
number-reviewed-annotations,Number of reviewed annotations,Nombre d'annotations validées,Número de anotaciones revisadas,Aantal gevalideerde annotaties
number-success,Successful jobs,Exécutions réussies,Trabajos exitosos,Succesvolle jobs
number-user-annotations,Number of user annotations,Nombre d'annotations manuelles,Número de anotaciones de usuario,Aantal handmatige annotaties
number-viewed-images,Number of viewed images,Nombre d'images consultées,Cantidad de imágenes vistas,Aantal bekeken afbeeldingen
offline,Offline users,Utilisateurs hors ligne,Usuarios sin conexión,Offline users
ongoing,Ongoing,En cours,En marcha,Bezig
online-contributors,Online contributors,Contributeurs en ligne,Colaboradores en línea,Online bijdragers
online,Online,En ligne,En línea,Online
online-managers,Online managers,Responsables en ligne,Administradores en línea,Online Managers
online-users,Online users,Utilisateurs en ligne,Usuarios en línea,Online users
ontologies,Ontologies,Ontologies,Ontologías,Ontologieën
ontology,Ontology,Ontologie,Ontología,Ontologie
opacity,Opacity,Opacité,Opacidad,ondoorzichtigheid
open-admin-session,Open admin session,Ouvrir une session admin,Abrir sesión de administrador,Een adminsessie openen
open-image-group-by-batch-of,Open by batch of,Ouvrir par lot de,Abierto por lote de,Open per batch van
open-in-viewer,Open in viewer,Ouvrir dans le visualisateur,Abrir en visor,Openen in de viewer
open-image-index,Open image {index},Ouvrir l'image {index},Abrir imagen {índice},Afbeelding {index} openen
operating-system,Operating system,Système d'exploitation,Sistema operativo,Operating systeem
open-images-from-to,Open images from {from} to {to},Ouvrir les images {from} à {to},Abrir imágenes de {from} a {to},Afbeeldingen openen van {van} tot {tot}
optional-parameters,Optional parameters,Paramètres optionnels,Parámetros opcionales,Optionele parameters
open-source-project,Open-source project,Projet open-source,Proyecto de código abierto,Open source-project
orange,Orange,Orange,Naranja,Oranje
open-view-select-annot-to-link,Open another view with an image from the same image group and select annotation to link with.,Une nouvelle vue avec une image du même groupe d'images doit être ouverte avec l'annotation à lier sélectionnée.,Abra otra vista con una imagen del mismo grupo de imágenes y seleccione la anotación para vincularla.,Open een andere weergave met een afbeelding uit dezelfde afbeeldingsgroep en selecteer een annotatie om mee te linken.
original-no-filter,Original (no filter),Pas de filtre,Original (sin filtro),Geen filter
originalFilename,Original filename,Nom du fichier d'origine,Nombre de archivo original,Oorspronkelijke bestandsnaam
other-information,Other information,Autres informations,Otra información,Andere informaties
outline-color,Outline color,Couleur du contour,Color de contorno,Outline kleur
overview,Overview,Aperçu,Visión general,In zicht
page-not-found,Page not found,Page non trouvée,Página no encontrada,Pagina niet gevonden
parameters,Parameters,Paramètres,Parámetros,Parameters
password-confirm,New password (confirm),Nouveau mot de passe (confirmation),Nueva contraseña (confirmar),Nieuw paswoord (bevestiging)
password,Password,Mot de passe,Contraseña,Paswoord
password-current,Current password,Mot de passe actuel,Contraseña actual,Huidig paswoord
password-expired-info-message,Your password has expired. Please choose a new one.,Votre mot de passe a expiré. Veuillez en choisir un nouveau,"Su contraseña ha expirado. Por favor, elija una nueva.",Uw wachtwoord is verlopen. Kies een nieuwe
password-new,New password,Nouveau mot de passe,Nueva contraseña,Nieuw paswoord
paste-repeat-info,Repeat on {input} next slices.,Répéter sur les {input} plans suivants.,,Herhaal dit bij volgende {input}-slices.
paste,Paste,Coller,,Plakken
paste-repeat,Repeat,Répéter,,Herhalen
paste-with-link,Paste with link,Coller avec un lien,Pegar con enlace,Plakken met link
per-image,Per image,Par image,Por imagen,Per afbeelding
paste-with-link-info,Select image(s) where to paste and link the copied annotation:,Sélectionner la ou les image(s) où coller et lier l'annotation copiée:,Seleccione la(s) imagen(es) donde pegar y vincule la anotación copiada:,Selecteer afbeelding(en) waar u de gekopieerde annotatie wilt plakken en koppelen:
per-term,Per term,Par terme,Por trimestre,Per termijn
per-image-group,Per image group,Par groupe d'images,Por grupo de imágenes,Per beeldgroep
per-track,Per track,Par trace,Por pista,Per track
per-user,Per user,Par utilisateur,Por usuario,Per user
perimeter,Perimeter,Périmètre,Perímetro,Omtrek
period,Period,Période,Período,Periode
pixel-intensity,Intensity,Intensité,,Intensiteit
pixels,pixels,pixels,píxeles,pixel
point,Point,Point,Punto,Punt
polygon,Polygon,Polygone,Polígono,Veelhoek
possible-conflict,Possible conflict,Conflit potentiel,Posible conflicto,Potentieel conflict
prefilled-parameters,Pre-filled parameters,Paramètres pré-remplis,Parámetros por defecto,Vooraf ingevulde parameters
prefix,Prefix,Préfixe,Prefijo,Voorvoegsel
preview-size,Preview size,Taille de l'aperçu,Tamaño de vista previa,Preview size
preview,Preview,Aperçu,Vista previa,Preview
previewed,Previewed,Prévisualisé,Vista previa,Previewed
private-key,Private key,Clé privée,Clave privada,Prive sleutel
profile,Profile,Profil,Perfil,Profiel
profile-projection,Profile projection,Projection du profil,Proyección de perfil,Profiel projectie
progress,Progress,Progrès,Progreso,Progress
project-connections-info-message,A project connection is recorded each time a user opens a project in Cytomine,Une connexion au projet est enregistrée à chaque ouverture de projet dans Cytomine,Se registra una conexión al proyecto cada vez que un usuario abre un proyecto en Cytomine,"Elke keer dat de user een project in Cytomine opent, wordt een projectverbinding opgeslagen"
project,Project,Projet,Proyecto,Project
project-connections,Project connections,Connexions au projet,Conexiones del proyecto,Projectverbindingen
project-contributor,Project contributor,Contributeur du projet,Colaborador del proyecto,Projectmedewerker
project-manager,Project manager,Responsable du projet,Administrador del proyecto,Projectleider
project-representative,Project representative,Personne de contact du projet,Persona de contacto del proyecto,Projectcontactpersoon
project-side-bar,Project side bar,Barre latérale du projet,Barra lateral del proyecto,Project zijbalk
projects,Projects,Projets,Proyectos,Projecten
properties,Properties,Propriétés,Propiedades,Eigenschappen
provisioned,Provisioned,Approvisionné,Aprovisionado,Voorzien
public-key,Public key,Clé publique,Clave pública,Publieke sleutel
purple,Purple,Violet,Violeta,Paars
ql-align,Text align,Alignement du texte,Alineamiento de texto,Tekstuitlijning
ql-background-color,Background color,Couleur du fond,Color de fondo,Achtergrond kleur
ql-blockquote,Quote,Citation,Citar,Citaat
ql-bold,Bold,Gras,Negrita,Vetgedrukt
ql-bullet-list,Bullet list,Liste à puces,Lista de viñetas,Lijst met opsommingstekens
ql-clean-format,Remove formatting,Supprimer la mise en forme,Eliminar formato,Formatting verwijderen
ql-code-block,Code,Code,Código,Code
ql-font-color,Font color,Couleur du texte,Color de fuente,Tekst kleur
ql-font,Font,Police,Fuente,Lettertype
ql-header-1,Header 1,Titre 1,Encabezado 1,Titel 1
ql-header-2,Header 2,Titre 1,Encabezado 2,Titel 1
ql-header-3,Header 3,Titre 3,Encabezado 3,Titel 3
ql-header-4,Header 4,Titre 4,Encabezado 4,Titel 4
ql-image,Add an image,Ajouter une image,Agregar una imagen,Een afbeelding toevoegen
ql-indent-left,Indent left,Indentater vers la gauche,Sangría izquierda,Links inspringen
ql-indent-right,Indent right,Indenter vers la droit,Sangría derecha,Rechts inspringen
ql-italic,Italic,Italique,Itálica,Cursief
ql-link,Add a link,Ajouter un lien,Agregar un enlace,Een link toevoegen
ql-ordered-list,Ordered list,Liste ordonnée,Lista ordenada,Georende lijst
ql-paragraph,Paragraph,Paragraphe,Párrafo,Paragraaf
ql-special-character,Special characters,Caractères spéciaux,Caracteres especiales,Speciale karakters
ql-subscript,Subscript,Indice,Subíndice,index
ql-superscript,Superscript,Exposant,Superíndice,Superscript tekst
ql-underline,Underline,Souligné,Subrayar,Onderstrepen
ql-video,Add a video,Ajouter une vidéo,Agregar un video,Een filmpje toevoegen
R&D,R&D,R&D,R&D,R&D
read-only-mode-explanation," Contributors will not be able to add, edit or delete project data, annotations, properties and descriptions even on their own layers.","Les contributeurs ne pourront ni ajouter, ni éditer, ni supprimer d'annotation (pas même sur leurs propres calques).","Los colaboradores no podrán agregar, editar o eliminar datos, anotaciones, propiedades y descripciones del proyecto, incluso en sus propias capas.","Bijdragers kunnen geen annotaties toevoegen, bewerken of verwijderen (zelfs niet op hun eigen lagen)."
read-only,Read only,Lecture seule,Solo lectura,Alleen lezen
recently-opened,Recently opened,Consultés récemment,Abiertas recientemente,Recent bekeken
rectangle,Rectangle,Rectangle,Rectángulo,Rechthoek
red,Red,Rouge,Rojo,Rood
redo,Redo,Refaire,Rehacer,Opnieuw doen
regenerate-api-keys,Regenerate,Regénérer,Regenerar,Regenereren
register,Register,Inscription,Registrarse,Inschrijving
registration-date,Registration date,Date d'inscription,Fecha de registro,Registratie datum
reject-annotation,Reject annotation,Rejeter l'annotation,Rechazar anotación,Annotatie afwijzen
relative-link-mode,Relative,Relatif,,Relatief
relaunch,Relaunch,Relancer,,Herstarten
remark-long-operation,Remark: this operation may take some time,Remarque : cette opération pourrait prendre un certain temps,Observación: esta operación puede llevar algún tiempo,Opmerking: deze bewerking kan enige tijd duren
remember-me,Remember me,Se rappeler de moi,Recuérdame,Onthouden
remove-members-confirmation-message,- | Do you really want to remove user {username} from project? | Do you really want to remove the {count} selected users from project?,- | Êtes-vous sûr de vouloir retirer {username} du projet ? | Êtes-vous sûr de vouloir supprimer les {count} membres sélectionnés du projet ?,- | ¿Realmente desea eliminar el usuario {username} del proyecto? | ¿Realmente desea eliminar los {count} usuarios seleccionados del proyecto?,- | Bent u zeker dat u {username} uit het project wilt verwijderen? | Bent u zeker dat u de geselecteerde {count} leden uit het project wilt verwijderen?
remove-members,Remove members,Retirer les membres,Eliminar miembros,Leden verwijderen
remove-yourself-from-manager-confirmation-message,Are you sure you want to remove yourself from the project managers? You will not be able to undo this action,Êtes-vous sûr de souhaiter vous retirer des responsables du projet ? Cette action est irréversible,¿Está seguro de que desea dejar de ser administrador del proyecto? No podrá deshacer esta acción,Bent u zeker dat u uwzelf wilt verwijderen uit de projectleiders? Deze actie is onomkeerbaar
remove-yourself-from-manager,Remove management rights,Retrait des droits de gestion,Eliminar derechos de administración,Intrekking van beheerrechten
rename-image,Rename the image,Renommer l'image,Renombrar la imagen,Afbeelding hernoemen
rename,Rename,Renommer,Renombrar,Hernoemen
rename-ontology,Rename ontology,Renommer l'ontologie,Renombrar ontología,Ontologie hernoemen
rename-image-group,Rename the image group,Renommer le groupe d'images,Cambiar el nombre del grupo de imágenes,Hernoem de afbeeldingsgroep
rename-project,Rename the project,Renommer le projet,Renombrar proyecto,Project hernoemen
representative-icon-label,You are a representative of this project,Vous êtes une personne de contact du projet,Usted es una persona de contacto de este proyecto.,U bent projectcontactpersoon
representative,Representative,Personne de contact,Persona de contacto,Contactpersoon
representatives,Representatives,Personnes de contact,Personas de contacto,Contactpersonen
rescale,Rescale,Redimensionner,,Formaat wijzigen
resize,Resize,Redimensionner,Redimensionar,Formaat wijzigen
resolution,Resolution X/Y,Résolution X/Y,Resolución X/Y,X/Y-resolutie
restricted-mode-explanation,"Contributors will not be able to add, edit or delete project data except annotations, properties and descriptions on their own layers.","Les contributeurs ne pourront ajouter, éditer et supprimer que les annotations de leurs propres calques.","Los colaboradores no podrán agregar, editar o eliminar datos del proyecto, excepto anotaciones, propiedades y descripciones en sus propias capas.","Bijdragers kunnen alleen annotaties toevoegen, bewerken en verwijderen uit hun eigen lagen."
restricted,Restricted,Restreint,Restringido,Beperkt
results,Results,Résultats,Resultados,Resultaten
review-explanation,You can review the visible annotations individually using the select tool or treat them all in batch with below buttons.,Vous pouvez valider les annotations en les sélectionnant une par une ou les traiter toutes à la fois avec les boutons ci-dessous,Puede revisar las anotaciones visibles individualmente utilizando la herramienta de selección o tratarlas todas en lote con los botones a continuación.,U kunt de annotaties valideren door ze één voor één te selecteren of ze allemaal tegelijk te verwerken met onderstaande knoppen
review,Review,Validation,Revisión,Review
review-layer,Review layer,Calque de validation,Capa de revisión,Review laag
review-list-visible-layers,The following layers are currently displayed: {visibleLayers}.,Les calques suivant sont affichés : {visibleLayers}.,Las siguientes capas se muestran actualmente: {visibleLayers}.,De volgende lagen worden weergegeven: {visibleLayers}.
reviewed-annotation-status-not-validated,Not validated,Non validé,No validado,Niet gevalideerd
reviewed,Reviewed,Validée,Revisados,Reviewed
reviewed-annotation-status-validated,Validated,Validé,Validado,Gevalideerd
reviewed-annotation-status,Review Status,Statut de la révision,Estado de revisión,Review Status
reviewed-annotations-info-message,Annotations validated during the review process,Annotations validées durant le processus de validaion,Anotaciones validadas durante el proceso de revisión.,Annotaties gevalideerd tijdens het reviewproces
reviewed-annotations,Reviewed Annotations,Annotations validées,Anotaciones revisadas,Gevalideerde annotaties
reviewed-by,Reviewed by,Validé par,Revisado por,Reviewed door
reviewed-on,Reviewed on,Validé le,Revisado el,Reviewed op
reviewers,Reviewers,Validateurs,Revisores,Reviewers
role,Role,Rôle,Papel,Rol
rotate,Rotate,Pivoter,Girar,Schommelen
run-number,Run number,#,Número de ejecución,#
running,Running,En cours,En ejecución,Bezig
sample-preview-of,Sample preview of {filename},Aperçu de l'image {filename},Vista previa de muestra de {filename},Afbeeldingsvoorbeeld {filename}
sample-preview,Sample preview,Aperçu de l'image,Vista previa de muestra,Afbeeldingsvoorbeeld
saturation,Saturation,Saturation,Saturación,Verzadiging
screenshot,Screenshot current image view,Capture d'écran de l'image actuelle,,Screenshot van de huidige afbeelding
search-or-create-tag,Search tag (or create a new one by typing its name and pressing Enter)...,Rechercher un tag (ou créer un nouveau en entrant son nom suivi de la touche Enter)...,Busque la etiqueta (o cree una nueva escribiendo su nombre y presionando Enter) ...,Zoek naar een tag (of maak een nieuwe aan door de naam in te voeren gevolgd door de Enter-toets)...
search-placeholder,Search,Recherche,Buscar,Zoeken
search-user,Search user...,Rechercher un utilisateur...,Buscar usuario...,Zoek een gebruiker...
seconds,second | seconds,seconde | secondes,,tweede | seconden
select-all,Select all,Tout sélectionner,Seleccionar todo,Selecteer alles
select,Select,Sélectionner,Seleccione,Selecteer
select-annotation,Select an annotation,Sélectionner une annotation,Seleccionar una anotación,Selecteer een annotatie
select-date,Select a date,Choisir une date,Seleccione una fecha,Selecteer een datum
select-image-group,Select image group,Choisir le groupe d'images,Seleccionar grupo de imágenes,Selecteer beeldgroep
select-image-to-add,Select an image to add,Sélectionner une image à ajouter,Seleccione una imagen para agregar,Selecteer een afbeelding om toe te voegen
select-layer-placeholder,Select a layer,Sélectionner un calque,Seleccione una capa,Selecteer een laag
select-layer,Select a layer,Sélectionner un calque,Selecciona una capa,Selecteer een laag
select-ontology,Select ontology,Choisir l'ontologie,Seleccione ontología,Kies ontologie
select-options,Select options,Sélectionner les options,Seleccione opciones,Selecteer opties
select-project,Select a project,Sélectionner un project,Seleccione un proyecto,Selecteer een project
send-to-all-project-members,Send to all project members,Envoyer à tous les membres du projet,Enviar a todos los miembros del proyecto,Stuur naar alle projectleden
selection-in-view,Selection in view {number},Sélection dans la vue {number},Selección a la vista {número},Selectie in weergave {nummer}
send-to-some-members,Send to some project members only,Envoyer à certains membres seulement,Enviar solo a algunos miembros del proyecto,Alleen naar bepaalde projectleden verzenden
services,Services,Services,Servicios,Diensten
set-magnification,Set magnification,Changer le grossissement,Establecer nivel de aumento,De vergroting veranderen
shortcut-general-close-modal,Close a modal,Fermer une fenêtre,Cerrar una ventana de diálogo,Een venster sluiten
shortcut,Keyboard shortcut,Raccourci clavier,Atajo de teclado,Toetsenbord sneltoets
shortcut-general-shortcuts-modal,Bring up this keyboard shortcut list,Afficher cette liste de raccourcis clavier,,Deze lijst met sneltoetsen tonen
shortcut-general,General,Général,General,Algemeen
shortcut-text-editor-bold,Format text in bold,Mettre le texte en gras,Negrita,De tekst vet maken
shortcut-text-editor,Text editor,Editeur de texte,Editor de texto,Teksteditor
shortcut-text-editor-italic,Format text in italic,Mettre le texte en italique,Cursiva,De tekst cursief maken
shortcut-text-editor-underline,Format text underlined,Souligner le texte,Subrayado,Tekst onderstrepen
shortcut-viewer-nav-drag-rotate,Rotate image,Faire tourner l'image,Girar imagen,De afbeelding draaien
shortcut-viewer-nav,Viewer: Navigation,Visualisateur : Naviguation,Visor: Navegación,Viewer: Navigatie
shortcut-viewer-nav-drag-zoom,Zoom in area,Zoomer dans une région,Acercar a la región,Zoom in op een area
shortcut-viewer-nav-first-c,Go to first channel,Aller au premier canal,Ir al primer canal,Ga naar het eerste channel
shortcut-viewer-nav-first-slice,Go to first plane,Aller au premier plan,Ir al primer corte,Ga naar de eerste plan
shortcut-viewer-nav-first-t,Go to first frame,Aller à la première frame,Ir al primer cuadro,Ga naar het eerste frame
shortcut-viewer-nav-first-z,Go to first slice,Aller à la première tranche,Ir al primer plano,Ga naar eerste slice
shortcut-viewer-nav-last-c,Go to last channel,Aller au dernier canal,Ir al último canal,Ga naar het laatste channel
shortcut-viewer-nav-last-slice,Go to last plane,Aller au dernier plan,Ir al último corte,Ga naar het laatste plan
shortcut-viewer-nav-last-t,Go to last frame,Aller à la dernière frame,Ir al último cuadro,Ga naar het laatste frame
shortcut-viewer-nav-last-z,Go to last slice,Aller à la dernière tranche,Ir al último plano,Ga naar de laatste slice
shortcut-viewer-nav-move-down,Move down,Déplacer vers le bas,Desplazar hacia abajo,Naar beneden verplaatsen
shortcut-viewer-nav-move-left,Move left,Déplacer vers la gauche,Desplazar hacia la izquierda,Naar links gaan
shortcut-viewer-nav-move-right,Move right,Déplacer vers la droite,Desplazar a la derecha,Naar rechts gaan
shortcut-viewer-nav-move-up,Move up,Déplacer vers le haut,Desplazar hacia arriba,Omhoog gaan
shortcut-viewer-nav-next-annot-link,Go to next linked annotation,Aller à l'annotation liée suivante,Ir a la siguiente anotación vinculada,Ga naar de volgende gekoppelde annotatie
shortcut-viewer-nav-next-c,Go to next channel,Aller au canal suivant,Ir al siguiente canal,Ga naar het volgende channel
shortcut-viewer-nav-next-image,Go to next image,Aller à l'image suivante,Ir a la siguiente imagen,Ga naar volgende afbeelding
shortcut-viewer-nav-next-image-in-group,Go to next image in group,Aller à l'image suivante dans le groupe,Ir a la siguiente imagen del grupo,Ga naar volgende afbeelding in groep
shortcut-viewer-nav-next-slice,Go to next plane,Aller au plan suivant,Ir al siguiente corte,Ga naar het volgende plan
shortcut-viewer-nav-next-t,Go to next frame,Aller à la frame suivante,Ir al siguiente cuadro,Ga naar het volgende frame
shortcut-viewer-nav-next-z,Go to next slice,Aller à la tranche suivante,Ir al siguiente plano,Ga naar het volgende slice
shortcut-viewer-nav-previous-annot-link,Go to previous linked annotation,Aller à l'annotation liée précédente,Ir a la anotación vinculada anterior,Ga naar vorige gekoppelde annotatie
shortcut-viewer-nav-previous-c,Go to previous channel,Aller au canal précédent,Ir al canal anterior,Ga naar het vorige channel
shortcut-viewer-nav-previous-image,Go to previous image,Aller à l'image précédente,Ir a la imagen anterior,Ga naar vorige afbeelding
shortcut-viewer-nav-previous-image-in-group,Go to previous image in group,Aller à l'image précédente dans le groupe,Ir a la imagen anterior en grupo,Ga naar vorige afbeelding in groep
shortcut-viewer-nav-previous-slice,Go to previous plane,Aller au plan précédent,Ir al corte anterior,Ga naar het vorige plan
shortcut-viewer-nav-previous-t,Go to previous frame,Aller à la frame précédente,Ir al cuadro anterior,Ga naar het vorige frame
shortcut-viewer-nav-previous-z,Go to previous slice,Aller à la tranche précédente,Ir al plano anterior,Ga naar het vorige slice
shortcut-viewer-nav-zoom-in,Zoom in,Zoomer,Aumentar escala,Inzoomen
shortcut-viewer-nav-zoom-out,Zoom out,Dézoomer,Disminuir escala,Uitzoomen
shortcut-viewer-toggle-add-image,Toggle image selector,Afficher/Masquer le sélecteur d'images,Alternar selector de imagen,Afbeeldingsselector tonen/verbergen
shortcut-viewer-toggle,Viewer: Display,Visualisateur : Affichage,Visor: Pantalla,Viewer: weergeven
shortcut-viewer-toggle-all-annotations,Toggle annotations panel in all views,Afficher/Masquer le panneau des annotations dans toutes les vues,,Annotatiepaneel in alle views tonen/verbergen
shortcut-viewer-toggle-all-broadcast,Toggle broadcast panel in all views,Afficher/Masquer le panneau de diffusion et suivi dans toutes les vues,,Uitzending en opvolgingen paneel in alle views tonen/verbergen
shortcut-viewer-toggle-all-current,Toggle currently selected annotation panel in all views,Afficher/Masquer les détails de l'annotation sélectionnée dans toutes les vues,,Geselecteerde annotatiedetails in alle views tonen/verbergen
shortcut-viewer-toggle-all-filters,Toggle image color panel in all views,Afficher/Masquer le panneau de colorisation de l'image dans toutes les vues,,Toon/verberg afbeeldingskleurpaneel in alle views
